Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
343881-007;N. WMNS BENASSI BLK/ROSE 343881-007 # 6;990.00;NIKE;SANDALIAS;13;12,280.50;944.65;15/4/2019;L950.00;COBRAR
369402 01;SANDALIA PUMA EPIC WHT/GREY 369402 01 # 7;650.00;PUMA;SANDALIAS;13;6,609.00;508.38;30/1/2019;L590.00;
FOR-1904-BL;GUANTE PARA PESAS FORTIS  FOR-1904-BL-S;350.00;FORTIS;ACCESORIOS;13;3,870.00;297.69;1/10/2018;L290.00;
AR7419-002;T.N. AIR MAX RAITO BG BLK/WHT AR7419-002 # 3.5;1,990.00;NIKE;ZAPATO;13;24,101.50;1,853.96;16/4/2019;L1,890.00;COBRAR
AJ5911-001;T. NIKE FLEX CONTROL TR3 BLK/WHT AJ5911-001 # 6.5;2,590.00;NIKE;ZAPATO;13;30,598.50;2,353.73;25/2/2019;L2,390.00;
918230 007;T.N AIR MAX VISION BLK WHT 918230 007 # 6.5;2,590.00;NIKE;ZAPATO;13;29,635.50;2,279.65;22/2/2019;L2,390.00;
VN000VHE6BT;T.V OLD SKOOL BLACK VN000VHE6BT # 10.5C;1,490.00;VANS;ZAPATO;13;15,480.00;1,190.77;2/2/2019;L1,390.00;
A163L;Z.T. KEELERDG WPLTR BROWN FULL A163L # 6.5;2,990.00;TIMBERLAND;ZAPATO;13;36,384.50;2,798.81;22/4/2019;L2,790.00;ESTA BUENO
WF59212;T.K. TRIPLE SHIMMER GOLD WF59212 # 5;1,790.00;KEDS;ZAPATO;13;11,620.00;893.85;30/11/2018;L1,590.00;
15551;"T.EK 6"" BROWN BURNISHED 15551 #9.5";4,290.00;TIMBERLAND;ZAPATO;13;49,104.00;3,777.23;22/4/2019;L3,990.00;COBRAR
844868-011;T. NIKE TANJUN BPV BLK/WHT 844868-011 # 10.5;1,590.00;NIKE;ZAPATO;13;18,793.50;1,445.65;16/4/2019;L1,490.00;COBRAR
WF58509;T.K. TRIPLE METALLIC SILVER WF58509 # 5;1,590.00;KEDS;ZAPATO;13;10,270.00;790.00;30/11/2018;L1,390.00;
